ego	alter	pair	ell	t0ix	tfix	nix	stE	E
0xdf	0x54e30b7c8f6492f2	-0x11fb84a6800cb8d9	0	234	473	1	0	0
0x109	0x6bf590457a979213	-0x11fe5da2bab014ba	0	246	593	1	0	0
0xc9	0x60255efdc07a24c0	-0x1202e0bdbdea91ab	8	381	571	2	0	0
0x105	0x73ec006c3a1d1b8e	-0x12040f54f134aefe	0	143	497	1	0	0
0x2a	-0x4ba04b703897fb98	-0x1207bc3a88b8892d	0	154	154	1	0	0
0x31	0x7e540e97a56b9234	-0x1208095ae1df475f	0	516	526	1	1	1
0xdb	-0x4fcdada805448bc8	-0x120a748df3ff4893	0	228	488	1	0	0
0xf9	0x3713077f275f0f61	-0x120f4860ccaa0fe8	0	196	487	2	0	0
0xe5	-0x7843eee3b03e6e87	-0x1210e59332e05fd6	243	55	568	5	0	1
0x5d	0x43c6e00fcd59fbd	-0x1217c121a99d634f	0	257	270	1	0	0
0x3c	0x46e1218ea2651964	-0x121fdda9e06ea6cb	13	292	305	2	0	0
0x29	0x3b49943354df76aa	-0x1221e85777c4ac07	0	627	628	1	0	0
0x42	-0x5b00b7718d2c2251	-0x1226003e60a4006d	0	115	115	1	0	0
0xe8	0x3d7f6ec544473b80	-0x122d7e596d9f3f8e	0	131	426	2	0	0
0x1f	-0x7471a440bddb6ee1	-0x1231e20aad7d7c90	43	365	408	2	1	1
0x60	-0x25549d4280b0a2e7	-0x1232a9c323b854fc	0	155	155	2	1	1
0x45	0x65552fb0597c253b	-0x1232f35bea9b902e	0	235	236	1	0	0
0x115	-0x457c634d0199054d	-0x1233df3fef47b26b	0	70	439	1	0	0
0x22	0xc03072041a92cdb	-0x12374ed0571b0cda	0	412	412	1	0	0
0x59	0x205ffd86307e41dc	-0x123767e223f0483f	10	294	321	4	0	0
0x29	0x6d127767f4edc19f	-0x123800318c6d7d72	0	522	523	1	0	0
0x5d	0x600d55b12f879e90	-0x123c6df0358ad2d4	0	278	291	1	0	0
0x10a	0x5ddd359bf39cbbef	-0x12411df91858b109	0	270	600	1	0	0
0x51	-0x69d6356ffb277ffe	-0x1241ae7971163752	8	558	567	2	0	0
0x2c	0x7064947cd5d5cbec	-0x1243c07206636de8	140	200	357	2	0	0
0xfc	-0x487243e971300a3b	-0x12467e1246418949	199	57	564	7	1	0
0x38	-0x37a2458dd60ddeaf	-0x1248099170fd6a50	0	131	134	1	1	1
0x5f	-0x22ae4267022daf07	-0x1249f3b710b339b	0	630	630	1	0	0
0x19	0x373289bc062e44af	-0x124a465971fa5c78	0	255	255	1	0	0
0xc4	0x28ce3bff0045a2c0	-0x1250d5d64071fcd3	0	76	250	1	0	0
0x32	0x2628fe74ad90b0a5	-0x12511bea63acb3c3	0	385	385	1	0	0
0xe6	-0x6c2f2ae02d547883	-0x126007b5e07f8d94	82	127	500	4	0	0
0x40	0x6fa58a61b9584a1d	-0x12659d5fe352edac	0	496	497	1	0	0
0x41	-0x1d6c0db0620ae0f4	-0x126f4f7abb9495dc	0	468	468	1	0	0
0xce	0x117080cdc6110610	-0x126f87d44cadc4eb	0	430	631	1	1	1
0x24	0x69852b75cd6e794b	-0x1274a748e12c76f9	0	392	405	1	0	0
0x1c	0x59e176a9186b008f	-0x12761a7968316f48	0	581	581	1	0	0
0xe0	-0xaac3d6c30d7a1ca	-0x12772bd390fbd989	0	343	577	1	0	0
0x1d	0x2d48fcce33a0ccb	-0x127862e3483d4a80	0	71	71	1	1	1
0x70	-0x4cfff8d00f7b595f	-0x127b164dc56bd95f	0	242	253	1	1	1
0x19	0x7d37ca65b4376b17	-0x127ebc16e5644a54	74	53	127	2	0	1
0x22	0x7c8fb21bfbf4f1bd	-0x1283160a7f0ad03c	0	432	432	1	0	0
0xdf	-0xa83b43de96820d8	-0x12844596a42c5405	0	237	476	1	0	0
0x35	0x624339c14a9dd63a	-0x12849ef7db8694f8	0	213	213	1	0	0
